INDEX_NAME,INDEX_TYPE,TABLE_OWNER,TABLE_NAME,TABLE_TYPE,UNIQUENESS,COMPRESSION,PREFIX_LENGTH,TABLESPACE_NAME,INI_TRANS,MAX_TRANS,INITIAL_EXTENT,NEXT_EXTENT,MIN_EXTENTS,MAX_EXTENTS,PCT_INCREASE,PCT_THRESHOLD,INCLUDE_COLUMN,FREELISTS,FREELIST_GROUPS,PCT_FREE,LOGGING,BLEVEL,LEAF_BLOCKS,DISTINCT_KEYS,AVG_LEAF_BLOCKS_PER_KEY,AVG_DATA_BLOCKS_PER_KEY,CLUSTERING_FACTOR,STATUS,NUM_ROWS,SAMPLE_SIZE,LAST_ANALYZED,DEGREE,INSTANCES,PARTITIONED,TEMPORARY,GENERATED,SECONDARY,BUFFER_POOL,FLASH_CACHE,CELL_FLASH_CACHE,USER_STATS,DURATION,PCT_DIRECT_ACCESS,ITYP_OWNER,ITYP_NAME,PARAMETERS,GLOBAL_STATS,DOMIDX_STATUS,DOMIDX_OPSTATUS,FUNCIDX_STATUS,JOIN_INDEX,IOT_REDUNDANT_PKEY_ELIM,DROPPED,VISIBILITY,DOMIDX_MANAGEMENT,SEGMENT_CREATED,ORPHANED_ENTRIES,INDEXING,AUTO,CONSTRAINT_INDEX
CUSTOMER_ID_PK,NORMAL,WKSP_IDI0710,CUSTOMER,TABLE,UNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,,,,,,,VALID,,,,1,1,NO,N,N,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,NO,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,YES
DRIVER_ID_PK,NORMAL,WKSP_IDI0710,DELIVERY,TABLE,UNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,,,,,,,VALID,,,,1,1,NO,N,N,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,NO,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,YES
IDX_CUSTOMER_ADDRESS,NORMAL,WKSP_IDI0710,CUSTOMER,TABLE,NONUNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,0,1,5,1,1,5,VALID,5,5,11/10/2024,1,1,NO,N,N,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,YES,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,NO
ITEM_ID_PK,NORMAL,WKSP_IDI0710,MENU_ITEM,TABLE,UNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,,,,,,,VALID,,,,1,1,NO,N,N,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,NO,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,YES
ORDER_ID_PK,NORMAL,WKSP_IDI0710,ORDERS,TABLE,UNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,,,,,,,VALID,,,,1,1,NO,N,N,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,NO,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,YES
PICKUP_ID_PK,NORMAL,WKSP_IDI0710,PICKUP,TABLE,UNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,,,,,,,VALID,,,,1,1,NO,N,N,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,NO,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,YES
RESTAURANT_ID_PK,NORMAL,WKSP_IDI0710,RESTAURANT,TABLE,UNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,,,,,,,VALID,,,,1,1,NO,N,N,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,NO,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,YES
SYS_C00168342063,NORMAL,WKSP_IDI0710,CUSTOMER,TABLE,UNIQUE,DISABLED,,APEX_BIGFILE_INSTANCE_TBS4,2,255,65536,1048576,1,2147483645,,,,,,10,YES,,,,,,,VALID,,,,1,1,NO,N,Y,N,DEFAULT,DEFAULT,DEFAULT,NO,,,,,,NO,,,,NO,NO,NO,VISIBLE,,YES,NO,FULL,NO,YES
